frame,n_cells
0,18
1,18
2,18
3,19
4,18
5,18
6,18
7,18
8,16
9,16
10,18
11,20
12,20
13,20
14,20
15,20
16,19
17,20
18,19
19,19
20,19
21,19
22,19
23,19
24,19
25,19
26,19
27,19
28,19
29,19
30,35
31,34
32,36
33,34
34,34
35,34
36,32
37,33
38,34
39,30
40,30
41,30
42,30
43,30
44,31
45,32
46,31
47,31
48,33
49,33
50,32
51,31
52,32
53,30
54,34
55,33
56,36
57,34
58,34
59,32
60,33
61,31
62,32
63,34
64,34
65,34
66,33
67,33
68,31
69,34
70,35
71,35
72,34
73,34
74,34
75,36
76,33
77,33
78,30
79,29
80,28
81,30
82,31
83,33
84,33
85,33
86,31
87,28
88,28
89,27
90,29
91,30
92,29
93,29
94,29
95,30
96,28
97,28
98,30
99,31
100,31
101,31
102,32
103,33
104,33
105,34
106,35
107,34
108,34
109,34
110,35
111,33
112,32
113,32
114,35
115,32
116,34
117,35
118,35
119,34
120,34
121,34
122,34
123,35
124,34
125,34
126,34
127,34
128,34
129,35
130,32
131,32
132,32
133,32
134,32
135,32
136,34
137,34
138,35
139,33
140,33
141,33
142,35
143,37
144,35
145,36
146,36
147,35
148,37
149,35
150,34
151,35
152,33
153,30
154,30
155,27
156,28
157,28
158,30
159,30
160,31
161,28
162,30
163,31
164,29
165,28
166,29
167,31
168,29
169,29
170,30
171,30
172,28
173,30
174,30
175,29
176,30
177,30
178,30
179,29
180,29
181,29
182,30
183,30
184,30
185,30
186,30
187,30
188,29
189,30
190,30
191,29
192,28
193,32
194,32
195,32
196,35
197,35
198,32
199,32
200,32
201,32
202,34
203,34
204,33
205,34
206,30
207,30
208,29
209,32
210,32
211,31
212,31
213,32
214,32
215,32
216,33
217,33
218,33
219,34
220,32
221,32
222,33
223,33
224,33
225,33
226,33
227,34
228,33
229,32
230,32
231,34
232,32
233,33
234,32
235,32
236,33
237,33
238,30
239,33
240,33
241,34
242,33
243,33
244,33
245,32
246,32
247,34
248,36
249,36
250,36
251,34
252,34
253,34
254,32
255,34
256,32
257,34
258,33
259,33
260,34
261,34
262,34
263,34
264,39
265,39
266,40
267,37
268,35
269,35
270,35
271,35
272,35
273,35
274,35
275,34
276,35
277,36
278,37
279,35
280,35
281,35
282,38
283,38
284,36
285,36
286,36
287,36
288,36
289,36
290,36
291,33
292,36
293,35
294,36
295,35
296,33
297,31
298,33
299,31
300,34
301,32
302,33
303,36
304,36
305,31
306,30
307,34
308,35
309,36
310,34
311,31
312,33
313,31
314,30
315,32
316,32
317,34
318,34
319,35
320,35
321,34
322,34
323,34
324,34
325,36
326,35
327,34
328,34
329,30
330,28
331,29
332,32
333,31
334,31
335,31
336,28
337,28
338,29
339,31
340,29
341,29
342,31
343,32
344,32
345,34
346,33
347,36
348,34
349,32
350,32
351,30
352,30
353,31
354,31
355,29
356,30
357,29
358,30
359,32
360,33
361,31
362,31
363,31
364,31
365,31
366,31
367,31
368,34
369,33
370,32
371,31
372,30
373,31
374,32
375,32
376,34
377,33
378,35
379,35
380,35
381,33
382,35
383,35
384,33
385,33
386,33
387,32
388,33
389,32
390,32
391,34
392,34
393,33
394,31
395,32
396,32
397,31
398,31
399,31
400,34
401,34
402,36
403,35
404,35
405,36
406,36
407,34
408,36
409,35
410,35
411,37
412,35
413,34
414,35
415,33
416,35
417,35
418,35
419,36
420,35
421,34
422,36
423,35
424,34
425,32
426,35
427,35
428,36
429,36
430,36
431,36
432,36
433,36
434,36
435,36
436,36
437,36
438,36
439,36
440,36
441,35
442,38
443,36
444,36
445,36
446,37
447,37
448,35
449,35
450,35
451,34
452,34
453,36
454,34
455,34
456,35
457,37
458,37
459,37
460,35
461,35
462,35
463,35
464,36
465,35
466,36
467,33
468,37
469,37
470,37
471,37
472,38
473,38
474,39
475,38
476,38
477,38
478,39
479,36
480,36
481,37
482,37
483,37
484,35
485,35
486,37
487,38
488,34
489,38
490,38
491,38
492,38
493,39
494,39
495,38
496,37
497,38
498,39
499,37
